miRseqMature	TCGA-44-6146-01A-11H-A279-13	TCGA-44-6147-01A-11H-A279-13	TCGA-44-6775-01A-11H-A279-13	TCGA-A6-5656-01A-21H-A279-13	TCGA-A6-6650-01A-11H-A279-13	TCGA-A6-6780-01A-11H-A279-13	TCGA-A6-6781-01A-22H-A279-13	TCGA-A7-A0DB-01A-11R-A27D-13	TCGA-A7-A13D-01A-13R-A27D-13	TCGA-A7-A13E-01A-11R-A27D-13	TCGA-A7-A26E-01A-11R-A27D-13	TCGA-A7-A26J-01A-11R-A27D-13	TCGA-B2-3923-01A-02R-A27D-13	TCGA-B2-3924-01A-02R-A27D-13	TCGA-B2-5633-01A-01R-A27D-13	TCGA-B2-5635-01A-01R-A27D-13	TCGA-BK-A0CA-01A-21R-A27D-13	TCGA-BK-A0CC-01A-21R-A27D-13	TCGA-BK-A139-01A-11R-A27D-13	TCGA-BK-A26L-01A-11R-A27D-13	TCGA-BL-A0C8-01A-11R-A27D-13	TCGA-BL-A13I-01A-11R-A27D-13	TCGA-BL-A13J-01A-11R-A27D-13
hsa-let-7f-5p|MIMAT0000067	14.6499858744702	15.2266379725499	16.5503860665313	12.0084286220706	14.7123657844479	13.5986341147798	13.4594316186373	15.5990120385834	14.7410455770098	15.0399471601691	16.1651229063358	15.3787689921769	14.7373001648141	16.8682076389281	14.9605450132117	16.9532074818877	15.4583425262125	13.5028318040667	13.8054415999067	13.9966500191759	14.728983369988	13.8187818722754	14.0293735099766
hsa-let-7f-1-3p|MIMAT0004486	3	3.32192809488736	4.64385618977472	1.58496250072116	3.32192809488736	3	3.90689059560852	3.58496250072116	3	4.32192809488736	4.70043971814109	3.8073549220576	3.4594316186373	5	3.32192809488736	4.24792751344359	4.64385618977472	3.8073549220576	2.8073549220576	2.8073549220576	2.8073549220576	3.16992500144231	4.32192809488736
hsa-let-7f-2-3p|MIMAT0004487	1	2	1.58496250072116	0	0	1.58496250072116	0	0	1	2.58496250072116	2	2.58496250072116	NA	3.16992500144231	0	2	3.32192809488736	2	1.58496250072116	2	NA	NA	2
hsa-miR-15a-5p|MIMAT0000068	8.54303182025524	10.2491134527137	11.0613711926598	8.16992500144231	10.9858419370033	9.22158712126481	9.49984588708321	10.0347989625773	9.85642552862553	9.69696752623429	10.7813597135247	10.8081597728684	10.1006623390052	11.8133803869247	10.8241632097442	11.6537407787066	10.2585660338899	10.2784494582205	9.64565843240871	9.211888294546	10.1922928144708	10.2749604721406	8.88264304936184
hsa-miR-15a-3p|MIMAT0004488	NA	0	0	NA	2.32192809488736	NA	NA	1	1	2	NA	0	1.58496250072116	NA	0	1	NA	2.8073549220576	1	NA	NA	1	NA
hsa-miR-16-5p|MIMAT0000069	10.5840229402575	11.4584066132365	11.4948555844912	9.4797802640291	11.5891829670394	10.2191685204622	10.7004397181411	11.0133226734254	10.7473538294781	11.093417564388	11.3498340914572	11.4408691676109	11.1904420187828	12.3205185246327	11.6238814900135	12.1861142395416	11.0947375050481	11.7903484967519	11.0914353863236	10.2479275134436	11.7151040092362	10.9534689622288	9.99435343685886
hsa-miR-16-1-3p|MIMAT0004489	3.70043971814109	4.4594316186373	5.64385618977472	2	5.95419631038687	4.39231742277876	4.90689059560852	5	4.90689059560852	4.32192809488736	5.4594316186373	5.49185309632967	5.20945336562895	6.78135971352466	5.49185309632967	6	5.52356195605701	5.90689059560852	4.95419631038687	5.04439411935845	5.12928301694497	5.4594316186373	3.8073549220576
hsa-miR-17-5p|MIMAT0000070	10.1811522568656	12.0647427647503	12.2452555803066	12.5102696708982	14.3864014236408	12.7439928610602	11.9344280406268	11.0600203545079	11.8883627411706	12.9432473959016	11.1484765821783	12.1724275086455	10.3944626946103	12.0525680508042	11.4828079567267	11.6501542136751	13.1422666386357	14.4630772933249	11.8807314351417	13.1104833098162	11.6488069497258	11.3744961456915	12.025831668332
hsa-miR-17-3p|MIMAT0000071	9.35755200461808	11.1503819688178	11.7008731551403	10.2585660338899	12.3520434257954	11.1922928144708	11.4325419003883	10.5343028824546	10.9520131648895	12.6089478145655	10.8849336479498	11.6921795763125	9.83130724380205	12.4096561130599	11.3151495622563	11.7780771295354	12.2088439907346	12.7844303674846	10.7030383889864	12.3250243101914	10.6952282914958	9.70217268536555	10.7927902943011
hsa-miR-18a-5p|MIMAT0000072	2	6.55458885167764	6.06608919045777	6.4262647547021	8.09275714091985	6.65821148275179	5.61470984411521	4.75488750216347	7.03342300153745	7.13955135239879	4.08746284125034	5.97727992349992	2.58496250072116	5.61470984411521	5.24792751344359	4.85798099512757	7.68650052718322	10.2526654324502	7.15987133677839	7.59991284218713	6.4093909361377	5.93073733756289	7.19967234483636
