miRseqMature	TCGA-N5-A4R8-01A-11R-A28Z-13	TCGA-N5-A4RA-01A-11R-A28Z-13	TCGA-N5-A4RD-01A-11R-A28Z-13	TCGA-N5-A4RF-01A-11R-A28Z-13	TCGA-N5-A4RJ-01A-11R-A28Z-13	TCGA-N5-A4RM-01A-11R-A28Z-13	TCGA-N5-A4RN-01A-12R-A28Z-13	TCGA-N5-A4RO-01A-11R-A28Z-13	TCGA-N5-A4RS-01A-11R-A28Z-13	TCGA-N5-A4RT-01A-11R-A28Z-13	TCGA-N5-A4RU-01A-31R-A28Z-13	TCGA-N5-A4RV-01A-21R-A28Z-13	TCGA-N5-A59E-01A-11R-A28Z-13	TCGA-N5-A59F-01A-11R-A28Z-13	TCGA-N6-A4V9-01A-11R-A28Z-13	TCGA-N6-A4VC-01A-11R-A28Z-13	TCGA-N6-A4VD-01A-11R-A28Z-13	TCGA-N6-A4VE-01A-11R-A28Z-13	TCGA-N6-A4VF-01A-31R-A28Z-13	TCGA-N6-A4VG-01A-31R-A28Z-13	TCGA-N7-A4Y5-01A-12R-A28Z-13	TCGA-N7-A4Y8-01A-11R-A28Z-13	TCGA-N7-A59B-01A-11R-A28Z-13	TCGA-N8-A4PI-01A-21R-A28Z-13	TCGA-N8-A4PL-01A-11R-A28Z-13	TCGA-N8-A4PM-01A-11R-A28Z-13	TCGA-N8-A4PN-01A-11R-A28Z-13	TCGA-N8-A4PO-01A-11R-A28Z-13	TCGA-N8-A4PP-01A-11R-A28Z-13	TCGA-N8-A4PQ-01A-11R-A28Z-13	TCGA-N8-A56S-01A-11R-A28Z-13	TCGA-N9-A4PZ-01A-22R-A28Z-13	TCGA-N9-A4Q1-01A-11R-A28Z-13	TCGA-N9-A4Q3-01A-11R-A28Z-13	TCGA-N9-A4Q4-01A-11R-A28Z-13	TCGA-N9-A4Q7-01A-11R-A28Z-13	TCGA-N9-A4Q8-01A-31R-A28Z-13	TCGA-NA-A4QV-01A-11R-A28Z-13	TCGA-NA-A4QW-01A-11R-A28Z-13	TCGA-NA-A4QX-01A-11R-A28Z-13	TCGA-NA-A4QY-01A-11R-A28Z-13	TCGA-NA-A4R0-01A-11R-A28Z-13	TCGA-NA-A4R1-01A-11R-A28Z-13	TCGA-NA-A5I1-01A-21R-A28Z-13	TCGA-ND-A4W6-01A-11R-A28Z-13	TCGA-ND-A4WA-01A-12R-A28Z-13	TCGA-ND-A4WC-01A-21R-A28Z-13	TCGA-ND-A4WF-01A-11R-A28Z-13	TCGA-NF-A4WU-01A-11R-A28Z-13	TCGA-NF-A4WX-01A-11R-A28Z-13	TCGA-NF-A4X2-01A-11R-A28Z-13	TCGA-NF-A5CP-01A-12R-A28Z-13	TCGA-NG-A4VU-01A-11R-A28Z-13	TCGA-NG-A4VW-01A-11R-A28Z-13	TCGA-QM-A5NM-01A-11R-A28Z-13	TCGA-QN-A5NN-01A-11R-A28Z-13
hsa-let-7f-5p|MIMAT0000067	12.0241007802529	12.0423433797937	13.8798703816748	10.8780509127285	13.4132312391245	12.8908342493894	12.3663222142458	10.8734441125154	13.5942079518091	12.4186432493759	13.8229690904533	14.0310980873631	11.6947931549999	14.0403753485321	12.5242968376626	11.4387918525783	13.7965466538007	12.8874110325532	14.6378701290344	11.7511255833673	12.0495082510551	10.1433832139898	13.6771690577161	13.3886900272743	11.5410966153495	13.4150815261657	11.8811139606751	14.6159169520151	11.4398308839814	13.3184015836206	13.4908508767403	14.6978363579624	12.9822806045583	12.4380120876511	11.7034710460719	12.9511025450013	14.2584924251223	14.1279943209764	13.399010832952	12.6393407086522	12.8870301732477	13.7090838125503	13.9055750395627	12.714460188456	14.369256533388	14.1773416702229	12.6899979714194	12.3520434257954	11.2969162068793	12.8778592561303	12.7976615258538	13.2961992685149	12.2005921376893	13.4609677625704	14.6156296369681	15.0925919878041
hsa-let-7f-1-3p|MIMAT0004486	0	2	2	0	2.32192809488736	1	NA	1	3	0	3	2.58496250072116	NA	3.4594316186373	0	2	2.58496250072116	2.8073549220576	3.16992500144231	0	1	0	3	2.8073549220576	0	3.8073549220576	0	2	NA	3.70043971814109	2.32192809488736	1	2.32192809488736	0	2.58496250072116	2	2.8073549220576	3.58496250072116	3	1.58496250072116	2	4.32192809488736	3	1.58496250072116	3.32192809488736	2.32192809488736	1	1	2	2.58496250072116	3.58496250072116	3.16992500144231	1	3	3	3.32192809488736
hsa-let-7f-2-3p|MIMAT0004487	1	0	1.58496250072116	0	2	NA	1	0	2	NA	2.32192809488736	1	1.58496250072116	1.58496250072116	0	0	1	3.32192809488736	2.8073549220576	1.58496250072116	NA	NA	4	NA	NA	1	1.58496250072116	0	NA	0	NA	3.4594316186373	2	1	NA	0	2	2.8073549220576	1.58496250072116	NA	NA	0	NA	0	1.58496250072116	2	0	1.58496250072116	NA	0	2	1.58496250072116	NA	NA	0	2.32192809488736
hsa-miR-15a-5p|MIMAT0000068	10.8895039634115	9.56414948998573	11.047123912114	10.4573808790725	10.7047682393626	9.68123841177781	8.876516946565	9.19721669311005	9.4178525148859	9.48179943166575	9.79928162152192	12.1705510353167	10.1699250014423	10.2854022188622	9.86263735755879	8.51175265376738	10.3342732853072	8.13955135239879	11.0606959316876	10.4737057496194	7.89481776330794	9.79603960882977	10.7673568541257	9.72451385311995	9.81538329581354	9.44501484586842	10.5381889320524	11.1395513523988	9.06339508128851	10.5821419816588	9.61470984411521	9.98441845880114	8.7714894695006	9.83130724380205	9.79603960882977	9.63117705570398	10.7439928610602	10.2264121927888	10.3761253892762	9.46147944728616	11.2155329997457	9.27612440527424	10.612868497291	9.11113567023471	10.871135184243	10.5430318202552	9.01402047031493	9.61286849729104	8.36632221424582	10.609178738142	10.9425145053392	10.4928546201747	9.72109918870719	10.12153351734	10.8265484872909	11.211888294546
hsa-miR-15a-3p|MIMAT0004488	3.32192809488736	2.58496250072116	1	0	0	0	NA	1.58496250072116	0	1	2	1	1	0	1	NA	1.58496250072116	4	NA	1.58496250072116	1	1.58496250072116	2.8073549220576	0	NA	0	3.32192809488736	2	NA	1.58496250072116	NA	0	NA	1	2	NA	1	0	2	0	2.32192809488736	NA	2	1	2.32192809488736	2	1.58496250072116	0	NA	2.32192809488736	1.58496250072116	0	1.58496250072116	1	1	0
hsa-miR-16-5p|MIMAT0000069	11.2737955992143	10.4888443464573	11.8951965725633	11.4278366034585	11.4019461239765	10.9351650496037	10.7895336449704	11.2796105810525	11.4093909361377	10.5497846679479	10.5526690975143	12.7811547706959	10.9068905956085	11.0443941193585	11.1433832139898	9.75822321472672	11.1655351413779	9.88417051910844	11.8415643477306	11.4696418172395	8.4093909361377	10.1836353814732	12.3481748675356	10.7607199474656	10.91288933623	10.6838718686226	11.9370059265166	12.3456824481868	10.3955341354623	10.7648715907361	10.4072677642447	11.0920964149908	11.1382718001722	10.8818787076004	10.9336906549522	10.5536292939164	10.9922302649659	12.4265268484517	10.467605550083	10.2656150464845	11.3174126137649	10.4542992936199	12.5471355318309	9.62570884306447	11.3701424794954	11.9683067944308	9.62205181945638	10.2737955992143	10.0168082876866	11.527965641134	11.7511255833673	11.1972166931101	10.0306671362469	11.3426302986784	11.616548843779	11.3224915375975
hsa-miR-16-1-3p|MIMAT0004489	6.04439411935845	5.52356195605701	5.75488750216347	4.64385618977472	5.20945336562895	4.16992500144231	3.4594316186373	4.64385618977472	3.4594316186373	4.32192809488736	5.32192809488736	7.12928301694497	5.20945336562895	4.52356195605701	4.4594316186373	3.16992500144231	4.24792751344359	4.08746284125034	5.04439411935845	5.08746284125034	3.70043971814109	4.08746284125034	4.70043971814109	3.4594316186373	4.58496250072116	3.70043971814109	5.83289001416474	5.20945336562895	3.8073549220576	5.20945336562895	5.04439411935845	3.16992500144231	3.16992500144231	5.04439411935845	4.52356195605701	4.32192809488736	5	4.70043971814109	5.52356195605701	4.24792751344359	5.58496250072116	4.08746284125034	4.75488750216347	3.58496250072116	5.64385618977472	5.52356195605701	4.16992500144231	5.39231742277876	2.58496250072116	6.16992500144231	5.28540221886225	4.58496250072116	4.24792751344359	3.70043971814109	4.58496250072116	5.08746284125034
hsa-miR-17-5p|MIMAT0000070	14.1567151442247	12.8544788341716	14.7320614036137	12.8305152069768	12.3462366913902	11.3810021095509	15.1989054025819	13.9226773089854	13.1267044728432	12.3761253892762	13.1725837713091	15.7128493783878	13.5378250592418	13.025831668332	12.0133226734254	13.3646818558646	12.281640300066	12.9301829168653	11.8986013874039	14.6571509443032	11.1389117181427	12.8774758665344	12.2755425560867	11.7817695118631	15.5147140541385	14.5168080409048	13.2686881922282	13.8525295094042	12.2529610363937	13.0421723531749	13.2483723549213	13.0620461377205	12.4275747475651	13.5509872145215	14.3079123024929	13.0891193979152	14.0165471585343	12.6096404744368	13.8073549220576	12.6377569454121	14.3232659121958	11.9072662485311	12.9507381360474	12.6744129818371	13.3198132227165	13.1597136910326	12.0542651396258	13.2800457613004	12.654636028528	14.2757607770326	12.9035053104239	11.4848228942621	13.5385527131111	12.1484765821783	12.763004829586	11.9876193119243
hsa-miR-17-3p|MIMAT0000071	12.2194710673944	11.6657800283295	12.7988767681333	9.9901039638575	10.7838167593202	9.18982455888002	12.3247431104944	11.2743781532464	11.0223678130285	10.0808175276083	11.1661630826461	13.9929383361658	11.344850683943	11.2336196767597	10.3998119593257	10.0525680508042	9.66533591718518	11.1312139050863	9.62753388447279	12.4051414631363	9.34872815423108	10.6510516911789	10.120237877342	9.62205181945638	13.4733252418918	11.6577650352654	11.1611318829843	11.6821167649501	9.7431513941125	10.3128829552844	10.8925428166486	10.8703647195834	10.0402897210257	11.2324209271761	11.4278366034585	11.3219280948874	11.6679985356725	11.319107575825	11.9808536063797	10.871135184243	11.9769220678511	9.96434086779242	10.3793783670713	9.86108690599539	11.2894425756883	11.3106127816595	10.8795832496128	10.4157417682901	11.0098286173681	12.2419831496943	10.3619437737352	9.2240016741981	10.6302671250268	10.4387918525783	10.9950604670327	10.3728650601126
hsa-miR-18a-5p|MIMAT0000072	10.2094533656289	9.75655632252409	9.8811139606751	9.13442632022093	8.70390357344466	6.20945336562895	9.8811139606751	10.1885888457073	8.97727992349992	7.95419631038687	9.89026427702111	10.2992080183873	10.1586096882145	9.17741953798924	7.13955135239879	8.98013957763916	6.89481776330794	8.81378119121704	7.06608919045777	10.5077946401987	7.78135971352466	8.33985000288462	7.52356195605701	7.45121111183233	10.5641494899857	9.9915218460757	9.12928301694497	9.13955135239879	7.83289001416474	9.04165915163721	8.58120058192496	7.8703647195834	9.22881869049588	9.23840473932508	10.2288186904959	8.06608919045777	9.38154295118458	8.17990909001493	9.92481250360578	7.59991284218713	10.5468944598876	7.03342300153745	7.97727992349992	9.50977500432694	9.38801728534514	8.2667865406949	7	8.22881869049588	9.1006623390052	10.1318569606088	7.88264304936184	7.09803208296053	9.19229281447077	6.8703647195834	7.62935662007961	6.91886323727459
