           0(  0 %)      185 hsa-miR-150-5p|MIMAT0000451
           0(  0 %)      186 hsa-miR-150-3p|MIMAT0004610
           0(  0 %)      187 hsa-miR-154-5p|MIMAT0000452
           0(  0 %)      188 hsa-miR-154-3p|MIMAT0000453
          10(100 %)      189 hsa-miR-184|MIMAT0000454
           1( 10 %)      190 hsa-miR-185-5p|MIMAT0000455
           0(  0 %)      191 hsa-miR-185-3p|MIMAT0004611
           0(  0 %)      192 hsa-miR-186-5p|MIMAT0000456
           0(  0 %)      193 hsa-miR-188-5p|MIMAT0000457
           0(  0 %)      194 hsa-miR-188-3p|MIMAT0004613
           8( 80 %)      195 hsa-miR-190a-5p|MIMAT0000458
          10(100 %)      196 hsa-miR-193a-5p|MIMAT0004614
           0(  0 %)      197 hsa-miR-193a-3p|MIMAT0000459
          10(100 %)      198 hsa-miR-194-5p|MIMAT0000460
           0(  0 %)      199 hsa-miR-195-5p|MIMAT0000461
           0(  0 %)      200 hsa-miR-195-3p|MIMAT0004615
           3( 30 %)      201 hsa-miR-320a|MIMAT0000510
          10(100 %)      202 hsa-miR-200c-3p|MIMAT0000617
           0(  0 %)      203 hsa-miR-155-5p|MIMAT0000646
          10(100 %)      204 hsa-miR-194-3p|MIMAT0004671
           0(  0 %)      205 hsa-miR-106b-5p|MIMAT0000680
           0(  0 %)      206 hsa-miR-106b-3p|MIMAT0004672
          10(100 %)      207 hsa-miR-29c-5p|MIMAT0004673
           0(  0 %)      208 hsa-miR-29c-3p|MIMAT0000681
           0(  0 %)      209 hsa-miR-30c-1-3p|MIMAT0004674
          10(100 %)      210 hsa-miR-200a-5p|MIMAT0001620
          10(100 %)      211 hsa-miR-200a-3p|MIMAT0000682
           0(  0 %)      212 hsa-miR-34b-3p|MIMAT0004676
           0(  0 %)      213 hsa-miR-34c-5p|MIMAT0000686
          10(100 %)      214 hsa-miR-34c-3p|MIMAT0004677
           0(  0 %)      215 hsa-miR-299-5p|MIMAT0002890
          10(100 %)      216 hsa-miR-301a-3p|MIMAT0000688
           0(  0 %)      217 hsa-miR-99b-5p|MIMAT0000689
           0(  0 %)      218 hsa-miR-99b-3p|MIMAT0004678
           7( 70 %)      219 hsa-miR-296-5p|MIMAT0000690
           3( 30 %)      220 hsa-miR-296-3p|MIMAT0004679
           3( 30 %)      221 hsa-miR-130b-5p|MIMAT0004680
           6( 60 %)      222 hsa-miR-130b-3p|MIMAT0000691
           0(  0 %)      223 hsa-miR-30e-5p|MIMAT0000692
           0(  0 %)      224 hsa-miR-30e-3p|MIMAT0000693
           0(  0 %)      225 hsa-miR-26a-2-3p|MIMAT0004681
           0(  0 %)      226 hsa-miR-361-5p|MIMAT0000703
           0(  0 %)      227 hsa-miR-361-3p|MIMAT0004682
          10(100 %)      228 hsa-miR-362-5p|MIMAT0000705
           0(  0 %)      229 hsa-miR-362-3p|MIMAT0004683
