Gene	TCGA-DX-AB2L-01A-32R-A41D-13
hsa-miR-3941|MIMAT0018357	NA
hsa-miR-3942-5p|MIMAT0018358	NA
hsa-miR-3943|MIMAT0018359	NA
hsa-miR-3944-3p|MIMAT0018360	NA
hsa-miR-3945|MIMAT0018361	NA
hsa-miR-374c-5p|MIMAT0018443	NA
hsa-miR-642b-3p|MIMAT0018444	NA
hsa-miR-550b-3p|MIMAT0018445	NA
hsa-miR-548z|MIMAT0018446	NA
hsa-miR-548aa|MIMAT0018447	NA
hsa-miR-151b|MIMAT0010214	NA
hsa-miR-548ah-5p|MIMAT0018972	NA
hsa-miR-548ah-3p|MIMAT0020957	NA
hsa-miR-3156-3p|MIMAT0019209	NA
hsa-miR-1296-3p|MIMAT0026637	NA
hsa-miR-3157-3p|MIMAT0019210	NA
hsa-let-7c-3p|MIMAT0026472	NA
hsa-miR-345-3p|MIMAT0022698	NA
hsa-miR-4456|MIMAT0018978	NA
hsa-miR-1271-3p|MIMAT0022712	NA
hsa-miR-1301-5p|MIMAT0026639	NA
hsa-miR-4459|MIMAT0018981	NA
hsa-miR-4460|MIMAT0018982	NA
hsa-miR-3162-3p|MIMAT0019213	NA
hsa-miR-378h|MIMAT0018984	NA
hsa-miR-1185-2-3p|MIMAT0022713	NA
hsa-miR-4462|MIMAT0018986	NA
hsa-miR-4463|MIMAT0018987	NA
hsa-miR-4464|MIMAT0018988	NA
hsa-miR-548ai|MIMAT0018989	NA
hsa-miR-548aj-3p|MIMAT0018990	NA
hsa-miR-766-5p|MIMAT0022714	NA
hsa-miR-4465|MIMAT0018992	NA
hsa-miR-378d|MIMAT0018926	NA
hsa-miR-1185-1-3p|MIMAT0022838	NA
hsa-miR-4468|MIMAT0018995	NA
hsa-miR-4469|MIMAT0018996	NA
hsa-miR-450a-1-3p|MIMAT0022700	NA
hsa-miR-670-3p|MIMAT0026640	NA
hsa-miR-4472|MIMAT0018999	NA
hsa-miR-433-5p|MIMAT0026554	NA
hsa-miR-4474-5p|MIMAT0019234	NA
hsa-miR-329-5p|MIMAT0026555	NA
hsa-miR-4475|MIMAT0019002	NA
hsa-miR-4476|MIMAT0019003	NA
hsa-miR-4477a|MIMAT0019004	NA
hsa-miR-4477b|MIMAT0019005	NA
hsa-miR-4478|MIMAT0019006	NA
hsa-miR-3689c|MIMAT0019007	NA
hsa-miR-412-5p|MIMAT0026557	NA
hsa-miR-3689e|MIMAT0019009	NA
hsa-miR-410-5p|MIMAT0026558	NA
hsa-miR-4479|MIMAT0019011	NA
hsa-miR-376b-5p|MIMAT0022923	NA
hsa-miR-548ak|MIMAT0019013	NA
hsa-miR-4480|MIMAT0019014	NA
hsa-miR-874-5p|MIMAT0026718	NA
hsa-miR-4482-5p|MIMAT0019016	NA
hsa-miR-4482-3p|MIMAT0020958	NA
hsa-miR-3187-5p|MIMAT0019216	NA
hsa-miR-4484|MIMAT0019018	NA
hsa-miR-4485-5p|MIMAT0032116	NA
hsa-miR-487a-5p|MIMAT0026559	NA
hsa-miR-4486|MIMAT0019020	NA
hsa-miR-4487|MIMAT0019021	NA
hsa-miR-889-5p|MIMAT0026719	NA
hsa-miR-489-5p|MIMAT0026605	NA
hsa-miR-3191-5p|MIMAT0022732	NA
hsa-miR-4490|MIMAT0019025	NA
hsa-miR-4491|MIMAT0019026	NA
hsa-miR-3192-3p|MIMAT0027027	NA
hsa-miR-4493|MIMAT0019028	NA
hsa-miR-4494|MIMAT0019029	NA
hsa-miR-95-5p|MIMAT0026473	NA
hsa-miR-4496|MIMAT0019031	NA
hsa-miR-4497|MIMAT0019032	NA
hsa-miR-548x-5p|MIMAT0022733	NA
hsa-miR-4419b|MIMAT0019034	NA
hsa-miR-98-3p|MIMAT0022842	NA
hsa-miR-4500|MIMAT0019036	NA
hsa-miR-4501|MIMAT0019037	NA
hsa-miR-887-5p|MIMAT0026720	NA
hsa-miR-4503|MIMAT0019039	NA
hsa-miR-494-5p|MIMAT0026607	NA
hsa-miR-4505|MIMAT0019041	NA
hsa-miR-495-5p|MIMAT0022924	NA
hsa-miR-2392|MIMAT0019043	NA
hsa-miR-4507|MIMAT0019044	NA
hsa-miR-4508|MIMAT0019045	NA
hsa-miR-4509|MIMAT0019046	NA
hsa-miR-301b-5p|MIMAT0032026	NA
hsa-miR-4511|MIMAT0019048	NA
hsa-miR-4512|MIMAT0019049	NA
hsa-miR-181d-3p|MIMAT0026608	NA
hsa-miR-208b-5p|MIMAT0026722	NA
hsa-miR-4515|MIMAT0019052	NA
hsa-miR-4516|MIMAT0019053	NA
hsa-miR-4517|MIMAT0019054	NA
hsa-miR-4518|MIMAT0019055	NA
hsa-miR-197-5p|MIMAT0022691	NA
hsa-miR-4520-5p|MIMAT0019235	NA
hsa-miR-4520-3p|MIMAT0019057	NA
hsa-miR-520f-5p|MIMAT0026609	NA
hsa-miR-1269b|MIMAT0019059	NA
hsa-miR-208a-5p|MIMAT0026474	NA
hsa-miR-937-5p|MIMAT0022938	NA
hsa-miR-4524a-5p|MIMAT0019062	NA
hsa-miR-4524a-3p|MIMAT0019063	NA
hsa-miR-4525|MIMAT0019064	NA
hsa-miR-939-3p|MIMAT0022939	NA
hsa-miR-4527|MIMAT0019066	NA
hsa-miR-4528|MIMAT0019067	NA
hsa-miR-4529-5p|MIMAT0019236	NA
hsa-miR-942-3p|MIMAT0026734	NA
hsa-miR-4530|MIMAT0019069	NA
hsa-miR-4531|MIMAT0019070	NA
hsa-miR-4532|MIMAT0019071	NA
hsa-miR-1178-5p|MIMAT0022940	NA
hsa-miR-4534|MIMAT0019073	NA
hsa-miR-378i|MIMAT0019074	NA
hsa-miR-1180-5p|MIMAT0026735	NA
hsa-miR-548am-5p|MIMAT0022740	NA
hsa-miR-548am-3p|MIMAT0019076	NA
hsa-miR-1587|MIMAT0019077	NA
hsa-miR-4536-5p|MIMAT0019078	NA
hsa-miR-4536-3p|MIMAT0020959	NA
hsa-miR-548an|MIMAT0019079	NA
hsa-miR-4537|MIMAT0019080	NA
hsa-miR-4538|MIMAT0019081	NA
hsa-miR-181b-3p|MIMAT0022692	NA
hsa-miR-1227-5p|MIMAT0022941	NA
hsa-miR-3960|MIMAT0019337	NA
hsa-miR-3972|MIMAT0019357	NA
hsa-miR-3973|MIMAT0019358	NA
hsa-miR-1229-5p|MIMAT0022942	NA
hsa-miR-520g-5p|MIMAT0026611	NA
hsa-miR-3976|MIMAT0019361	NA
hsa-miR-1233-5p|MIMAT0022943	NA
hsa-miR-3978|MIMAT0019363	NA
hsa-miR-4632-5p|MIMAT0022977	NA
hsa-miR-1236-5p|MIMAT0022945	NA
hsa-miR-203a-5p|MIMAT0031890	NA
hsa-miR-1237-5p|MIMAT0022946	NA
hsa-miR-4634|MIMAT0019691	NA
hsa-miR-204-3p|MIMAT0022693	NA
hsa-miR-4636|MIMAT0019693	NA
hsa-miR-4637|MIMAT0019694	NA
hsa-miR-210-5p|MIMAT0026475	NA
hsa-miR-4638-3p|MIMAT0019696	NA
hsa-miR-4639-5p|MIMAT0019697	NA
hsa-miR-211-3p|MIMAT0022694	NA
hsa-miR-212-5p|MIMAT0022695	NA
hsa-miR-4640-3p|MIMAT0019700	NA
hsa-miR-4641|MIMAT0019701	NA
hsa-miR-4642|MIMAT0019702	NA
hsa-miR-4643|MIMAT0019703	NA
hsa-miR-548e-5p|MIMAT0026736	NA
hsa-miR-215-3p|MIMAT0026476	NA
hsa-miR-4645-3p|MIMAT0019706	NA
hsa-miR-216a-3p|MIMAT0022844	NA
hsa-miR-1285-5p|MIMAT0022719	NA
hsa-miR-4647|MIMAT0019709	NA
hsa-miR-450a-2-3p|MIMAT0031074	NA
hsa-miR-4649-5p|MIMAT0019711	NA
hsa-miR-503-3p|MIMAT0022925	NA
hsa-miR-4650-5p|MIMAT0019713	NA
hsa-miR-504-3p|MIMAT0026612	NA
hsa-miR-4651|MIMAT0019715	NA
hsa-miR-4652-5p|MIMAT0019716	NA
hsa-miR-4652-3p|MIMAT0019717	NA
hsa-miR-4653-5p|MIMAT0019718	NA
hsa-miR-506-5p|MIMAT0022701	NA
hsa-miR-4654|MIMAT0019720	NA
hsa-miR-4655-5p|MIMAT0019721	NA
hsa-miR-4655-3p|MIMAT0019722	NA
hsa-miR-4656|MIMAT0019723	NA
hsa-miR-3606-3p|MIMAT0022965	NA
hsa-miR-4658|MIMAT0019725	NA
hsa-miR-1304-3p|MIMAT0022720	NA
hsa-miR-510-3p|MIMAT0026613	NA
hsa-miR-514a-5p|MIMAT0022702	NA
hsa-miR-548f-5p|MIMAT0026739	NA
hsa-miR-4661-3p|MIMAT0019730	NA
hsa-miR-4662a-5p|MIMAT0019731	NA
hsa-miR-4662a-3p|MIMAT0019732	NA
hsa-miR-4659b-5p|MIMAT0019733	NA
hsa-miR-4659b-3p|MIMAT0019734	NA
hsa-miR-539-3p|MIMAT0022705	NA
hsa-miR-4662b|MIMAT0019736	NA
hsa-miR-1249-5p|MIMAT0032029	NA
hsa-miR-4664-3p|MIMAT0019738	NA
hsa-miR-376a-2-5p|MIMAT0022928	NA
hsa-miR-487b-5p|MIMAT0026614	NA
hsa-miR-4666a-5p|MIMAT0019741	NA
hsa-miR-1251-3p|MIMAT0026741	NA
hsa-miR-128-1-5p|MIMAT0026477	NA
hsa-miR-3620-5p|MIMAT0022967	NA
hsa-miR-4668-5p|MIMAT0019745	NA
hsa-miR-4668-3p|MIMAT0019746	NA
hsa-miR-219b-5p|MIMAT0019747	NA
hsa-miR-219b-3p|MIMAT0019748	NA
hsa-miR-133a-5p|MIMAT0026478	NA
hsa-miR-548g-5p|MIMAT0022722	NA
hsa-miR-4670-3p|MIMAT0019751	NA
hsa-miR-4671-5p|MIMAT0019752	NA
hsa-miR-4671-3p|MIMAT0019753	NA
hsa-miR-4672|MIMAT0019754	NA
hsa-miR-561-5p|MIMAT0022706	NA
hsa-miR-4674|MIMAT0019756	NA
hsa-miR-3653-5p|MIMAT0032110	NA
hsa-miR-4676-5p|MIMAT0019758	NA
hsa-miR-4676-3p|MIMAT0019759	NA
hsa-miR-1266-3p|MIMAT0026742	NA
hsa-miR-4677-3p|MIMAT0019761	NA
hsa-miR-4678|MIMAT0019762	NA
hsa-miR-4679|MIMAT0019763	NA
hsa-miR-4680-5p|MIMAT0019764	NA
hsa-miR-4680-3p|MIMAT0019765	NA
hsa-miR-570-5p|MIMAT0022707	NA
hsa-miR-4682|MIMAT0019767	NA
hsa-miR-152-5p|MIMAT0026479	NA
hsa-miR-4684-5p|MIMAT0019769	NA
hsa-miR-4684-3p|MIMAT0019770	NA
hsa-miR-153-5p|MIMAT0026480	NA
hsa-miR-3664-3p|MIMAT0019220	NA
hsa-miR-1277-5p|MIMAT0022724	NA
hsa-miR-4687-5p|MIMAT0019774	NA
hsa-miR-4687-3p|MIMAT0019775	NA
hsa-miR-1343-5p|MIMAT0027038	NA
hsa-miR-1343-3p|MIMAT0019776	NA
hsa-miR-579-5p|MIMAT0026616	NA
hsa-miR-4689|MIMAT0019778	NA
hsa-miR-580-5p|MIMAT0026617	NA
hsa-miR-4690-3p|MIMAT0019780	NA
hsa-miR-1288-5p|MIMAT0026743	NA
hsa-miR-4691-3p|MIMAT0019782	NA
hsa-miR-3677-5p|MIMAT0019221	NA
hsa-miR-134-3p|MIMAT0026481	NA
hsa-miR-4693-3p|MIMAT0019785	NA
hsa-miR-584-3p|MIMAT0022708	NA
hsa-miR-585-5p|MIMAT0026618	NA
hsa-miR-1255b-2-3p|MIMAT0022725	NA
hsa-miR-4695-3p|MIMAT0019789	NA
hsa-miR-4696|MIMAT0019790	NA
hsa-miR-1306-5p|MIMAT0022726	NA
hsa-miR-4697-3p|MIMAT0019792	NA
hsa-miR-1307-5p|MIMAT0022727	NA
hsa-miR-4699-5p|MIMAT0019794	NA
hsa-miR-4699-3p|MIMAT0019795	NA
hsa-miR-513b-3p|MIMAT0026749	NA
hsa-miR-4700-3p|MIMAT0019797	NA
hsa-miR-513c-3p|MIMAT0022728	NA
hsa-miR-4701-3p|MIMAT0019799	NA
hsa-miR-3688-5p|MIMAT0019223	NA
hsa-miR-4703-3p|MIMAT0019802	NA
hsa-miR-4704-5p|MIMAT0019803	NA
hsa-miR-4704-3p|MIMAT0019804	NA
hsa-miR-190a-3p|MIMAT0026482	NA
hsa-miR-4706|MIMAT0019806	NA
hsa-miR-1537-5p|MIMAT0026765	NA
hsa-miR-4707-3p|MIMAT0019808	NA
hsa-miR-597-3p|MIMAT0026619	NA
hsa-miR-598-5p|MIMAT0026620	NA
hsa-miR-4709-5p|MIMAT0019811	NA
hsa-miR-4709-3p|MIMAT0019812	NA
hsa-miR-203b-5p|MIMAT0019813	NA
hsa-miR-203b-3p|MIMAT0019814	NA
hsa-miR-1-5p|MIMAT0031892	NA
hsa-miR-1908-3p|MIMAT0026916	NA
hsa-miR-4711-3p|MIMAT0019817	NA
hsa-miR-181b-2-3p|MIMAT0031893	NA
hsa-miR-128-2-5p|MIMAT0031095	NA
hsa-miR-605-3p|MIMAT0026621	NA
hsa-miR-4713-3p|MIMAT0019821	NA
hsa-miR-4714-5p|MIMAT0019822	NA
hsa-miR-3913-3p|MIMAT0019225	NA
hsa-miR-4715-5p|MIMAT0019824	NA
hsa-miR-4715-3p|MIMAT0019825	NA
hsa-miR-4716-5p|MIMAT0019826	NA
hsa-miR-4716-3p|MIMAT0019827	NA
hsa-miR-3529-5p|MIMAT0019828	NA
hsa-miR-3529-3p|MIMAT0022741	NA
hsa-miR-3150b-5p|MIMAT0019226	NA
hsa-miR-4717-3p|MIMAT0019830	NA
hsa-miR-4718|MIMAT0019831	NA
hsa-miR-4719|MIMAT0019832	NA
hsa-miR-3922-5p|MIMAT0019227	NA
hsa-miR-4720-3p|MIMAT0019834	NA
hsa-miR-4721|MIMAT0019835	NA
hsa-miR-301a-5p|MIMAT0022696	NA
hsa-miR-619-5p|MIMAT0026622	NA
hsa-miR-3925-3p|MIMAT0019228	NA
hsa-miR-4723-5p|MIMAT0019838	NA
hsa-miR-3927-5p|MIMAT0022970	NA
hsa-miR-451b|MIMAT0019840	NA
hsa-miR-4724-5p|MIMAT0019841	NA
hsa-miR-2276-5p|MIMAT0026921	NA
hsa-miR-3928-5p|MIMAT0027037	NA
hsa-miR-4725-3p|MIMAT0019844	NA
hsa-miR-4726-5p|MIMAT0019845	NA
hsa-miR-4726-3p|MIMAT0019846	NA
hsa-miR-2681-5p|MIMAT0013515	NA
hsa-miR-627-3p|MIMAT0026623	NA
hsa-miR-2682-5p|MIMAT0013517	NA
hsa-miR-2682-3p|MIMAT0013518	NA
hsa-miR-4729|MIMAT0019851	NA
hsa-miR-4730|MIMAT0019852	NA
hsa-miR-4731-5p|MIMAT0019853	NA
hsa-miR-365b-5p|MIMAT0022833	NA
hsa-miR-365b-3p|MIMAT0022834	NA
hsa-miR-4732-3p|MIMAT0019856	NA
hsa-miR-3117-5p|MIMAT0019197	NA
hsa-miR-3942-3p|MIMAT0019230	NA
hsa-miR-4734|MIMAT0019859	NA
hsa-miR-3944-5p|MIMAT0019231	NA
hsa-miR-3120-5p|MIMAT0019198	NA
hsa-miR-4736|MIMAT0019862	NA
hsa-miR-3121-5p|MIMAT0019199	NA
hsa-miR-376c-5p|MIMAT0022861	NA
hsa-miR-642b-5p|MIMAT0022736	NA
hsa-miR-4738-5p|MIMAT0019866	NA
hsa-miR-550b-2-5p|MIMAT0022737	NA
hsa-miR-370-5p|MIMAT0026483	NA
hsa-miR-4740-5p|MIMAT0019869	NA
hsa-miR-4740-3p|MIMAT0019870	NA
hsa-miR-548o-5p|MIMAT0022738	NA
hsa-miR-372-5p|MIMAT0026484	NA
hsa-miR-378e|MIMAT0018927	NA
hsa-miR-3127-3p|MIMAT0019201	NA
hsa-miR-4417|MIMAT0018929	NA
hsa-miR-4418|MIMAT0018930	NA
hsa-miR-3129-3p|MIMAT0019202	NA
hsa-miR-651-3p|MIMAT0026624	NA
hsa-miR-652-5p|MIMAT0022709	NA
hsa-miR-4421|MIMAT0018934	NA
hsa-miR-4422|MIMAT0018935	NA
hsa-miR-4423-5p|MIMAT0019232	NA
hsa-miR-4423-3p|MIMAT0018936	NA
hsa-miR-378g|MIMAT0018937	NA
hsa-miR-548ac|MIMAT0018938	NA
hsa-miR-4424|MIMAT0018939	NA
hsa-miR-4425|MIMAT0018940	NA
hsa-miR-3136-3p|MIMAT0019203	NA
hsa-miR-381-5p|MIMAT0022862	NA
hsa-miR-4428|MIMAT0018943	NA
hsa-miR-4429|MIMAT0018944	NA
hsa-miR-382-3p|MIMAT0022697	NA
hsa-miR-3140-5p|MIMAT0019204	NA
hsa-miR-383-3p|MIMAT0026485	NA
hsa-miR-4431|MIMAT0018947	NA
hsa-miR-656-5p|MIMAT0026627	NA
hsa-miR-4433a-5p|MIMAT0020956	NA
hsa-miR-4433a-3p|MIMAT0018949	NA
hsa-miR-328-5p|MIMAT0026486	NA
hsa-miR-4435|MIMAT0018951	NA
hsa-miR-659-5p|MIMAT0022710	NA
hsa-miR-4437|MIMAT0018953	NA
hsa-miR-3145-5p|MIMAT0019205	NA
hsa-miR-660-3p|MIMAT0022711	NA
hsa-miR-4438|MIMAT0018956	NA
hsa-miR-4439|MIMAT0018957	NA
hsa-miR-4440|MIMAT0018958	NA
hsa-miR-758-5p|MIMAT0022929	NA
hsa-miR-4442|MIMAT0018960	NA
hsa-miR-4443|MIMAT0018961	NA
hsa-miR-3150a-5p|MIMAT0019206	NA
hsa-miR-4445-5p|MIMAT0018963	NA
hsa-miR-668-5p|MIMAT0026636	NA
hsa-miR-3151-3p|MIMAT0027026	NA
hsa-miR-550a-3-5p|MIMAT0020925	NA
hsa-miR-4447|MIMAT0018966	NA
hsa-miR-4448|MIMAT0018967	NA
hsa-miR-3074-5p|MIMAT0019208	NA
hsa-miR-548ag|MIMAT0018969	NA
hsa-miR-4450|MIMAT0018971	NA
hsa-miR-4767|MIMAT0019919	NA
hsa-miR-4768-5p|MIMAT0019920	NA
hsa-miR-4451|MIMAT0018973	NA
hsa-miR-4452|MIMAT0018974	NA
hsa-miR-4453|MIMAT0018975	NA
hsa-miR-1468-3p|MIMAT0026638	NA
hsa-miR-4455|MIMAT0018977	NA
hsa-miR-4772-5p|MIMAT0019926	NA
hsa-miR-3160-5p|MIMAT0019212	NA
hsa-miR-4458|MIMAT0018980	NA
hsa-miR-4774-5p|MIMAT0019929	NA
hsa-miR-4774-3p|MIMAT0019930	NA
hsa-miR-4461|MIMAT0018983	NA
hsa-miR-4776-5p|MIMAT0019932	NA
hsa-miR-3135b|MIMAT0018985	NA
hsa-miR-4777-5p|MIMAT0019934	NA
hsa-miR-4777-3p|MIMAT0019935	NA
hsa-miR-4778-5p|MIMAT0019936	NA
hsa-miR-4778-3p|MIMAT0019937	NA
hsa-miR-4779|MIMAT0019938	NA
hsa-miR-548aj-5p|MIMAT0022739	NA
hsa-miR-4436b-5p|MIMAT0019940	NA
hsa-miR-4466|MIMAT0018993	NA
hsa-miR-3173-5p|MIMAT0019214	NA
hsa-miR-4781-3p|MIMAT0019943	NA
hsa-miR-4782-5p|MIMAT0019944	NA
hsa-miR-4470|MIMAT0018997	NA
hsa-miR-4471|MIMAT0018998	NA
hsa-miR-4783-3p|MIMAT0019947	NA
hsa-miR-1298-3p|MIMAT0026641	NA
hsa-miR-4785|MIMAT0019949	NA
hsa-miR-3177-5p|MIMAT0019215	NA
hsa-miR-1245b-3p|MIMAT0019951	NA
hsa-miR-2467-5p|MIMAT0019952	NA
hsa-miR-2467-3p|MIMAT0019953	NA
hsa-miR-4786-5p|MIMAT0019954	NA
hsa-miR-4786-3p|MIMAT0019955	NA
hsa-miR-4787-5p|MIMAT0019956	NA
hsa-miR-3689d|MIMAT0019008	NA
hsa-miR-4788|MIMAT0019958	NA
hsa-miR-891a-3p|MIMAT0026717	NA
hsa-miR-4789-3p|MIMAT0019960	NA
hsa-miR-3184-3p|MIMAT0022731	NA
hsa-miR-4790-3p|MIMAT0019962	NA
hsa-miR-4791|MIMAT0019963	NA
hsa-miR-4481|MIMAT0019015	NA
hsa-miR-4793-5p|MIMAT0019965	NA
hsa-miR-4793-3p|MIMAT0019966	NA
hsa-miR-4483|MIMAT0019017	NA
hsa-miR-4795-5p|MIMAT0019968	NA
hsa-miR-4795-3p|MIMAT0019969	NA
hsa-miR-3189-5p|MIMAT0019217	NA
hsa-miR-4796-3p|MIMAT0019971	NA
hsa-miR-4797-5p|MIMAT0019972	NA
hsa-miR-4488|MIMAT0019022	NA
hsa-miR-3190-3p|MIMAT0022839	NA
hsa-miR-548al|MIMAT0019024	NA
hsa-miR-4799-5p|MIMAT0019976	NA
hsa-miR-4799-3p|MIMAT0019977	NA
hsa-miR-4492|MIMAT0019027	NA
hsa-miR-4800-3p|MIMAT0019979	NA
hsa-miR-4801|MIMAT0019980	NA
hsa-miR-511-3p|MIMAT0026606	NA
hsa-miR-4802-3p|MIMAT0019982	NA
hsa-miR-4803|MIMAT0019983	NA
hsa-miR-4498|MIMAT0019033	NA
hsa-miR-4804-3p|MIMAT0019985	NA
hsa-miR-4499|MIMAT0019035	NA
hsa-miR-4999-3p|MIMAT0021018	NA
hsa-miR-5000-5p|MIMAT0021019	NA
hsa-miR-4502|MIMAT0019038	NA
hsa-miR-5001-5p|MIMAT0021021	NA
hsa-miR-4504|MIMAT0019040	NA
hsa-miR-5002-5p|MIMAT0021023	NA
hsa-miR-873-3p|MIMAT0022717	NA
hsa-miR-5003-5p|MIMAT0021025	NA
hsa-miR-5003-3p|MIMAT0021026	NA
hsa-miR-5004-5p|MIMAT0021027	NA
hsa-miR-5004-3p|MIMAT0021028	NA
hsa-miR-4510|MIMAT0019047	NA
hsa-miR-548ao-3p|MIMAT0021030	NA
hsa-miR-5006-5p|MIMAT0021033	NA
hsa-miR-216b-3p|MIMAT0026721	NA
hsa-miR-4514|MIMAT0019051	NA
hsa-miR-5007-3p|MIMAT0021036	NA
hsa-miR-548ap-5p|MIMAT0021037	NA
hsa-miR-548ap-3p|MIMAT0021038	NA
hsa-miR-5008-5p|MIMAT0021039	NA
hsa-miR-4519|MIMAT0019056	NA
hsa-miR-5009-5p|MIMAT0021041	NA
hsa-miR-5009-3p|MIMAT0021042	NA
hsa-miR-4521|MIMAT0019058	NA
hsa-miR-5010-3p|MIMAT0021044	NA
hsa-miR-4522|MIMAT0019060	NA
hsa-miR-4523|MIMAT0019061	NA
hsa-miR-5047|MIMAT0020541	NA
hsa-miR-5087|MIMAT0021079	NA
hsa-miR-5088-5p|MIMAT0021080	NA
hsa-miR-4526|MIMAT0019065	NA
hsa-miR-5089-5p|MIMAT0021081	NA
hsa-miR-5089-3p|MIMAT0022984	NA
hsa-miR-5090|MIMAT0021082	NA
hsa-miR-4529-3p|MIMAT0019068	NA
hsa-miR-5092|MIMAT0021084	NA
hsa-miR-5093|MIMAT0021085	NA
hsa-miR-5094|MIMAT0021086	NA
hsa-miR-4533|MIMAT0019072	NA
hsa-miR-1273f|MIMAT0020601	NA
hsa-miR-1273g-5p|MIMAT0020602	NA
hsa-miR-4535|MIMAT0019075	NA
hsa-miR-5096|MIMAT0020603	NA
hsa-miR-5186|MIMAT0021116	NA
hsa-miR-5187-5p|MIMAT0021117	NA
hsa-miR-5187-3p|MIMAT0021118	NA
hsa-miR-5188|MIMAT0021119	NA
hsa-miR-5189-5p|MIMAT0021120	NA
hsa-miR-5189-3p|MIMAT0027088	NA
hsa-miR-5190|MIMAT0021121	NA
hsa-miR-519d-5p|MIMAT0026610	NA
hsa-miR-4540|MIMAT0019083	NA
hsa-miR-5193|MIMAT0021124	NA
hsa-miR-5194|MIMAT0021125	NA
hsa-miR-5195-5p|MIMAT0021126	NA
hsa-miR-3974|MIMAT0019359	NA
hsa-miR-3975|MIMAT0019360	NA
hsa-miR-5196-3p|MIMAT0021129	NA
hsa-miR-3977|MIMAT0019362	NA
hsa-miR-5197-3p|MIMAT0021131	NA
hsa-miR-4524b-5p|MIMAT0022255	NA
hsa-miR-4632-3p|MIMAT0019688	NA
hsa-miR-4633-5p|MIMAT0019689	NA
hsa-miR-4633-3p|MIMAT0019690	NA
hsa-miR-5100|MIMAT0022259	NA
hsa-miR-1238-5p|MIMAT0022947	NA
hsa-miR-548aq-5p|MIMAT0022263	NA
hsa-miR-548aq-3p|MIMAT0022264	NA
hsa-miR-4638-5p|MIMAT0019695	NA
hsa-miR-548ar-3p|MIMAT0022266	NA
hsa-miR-548as-5p|MIMAT0022267	NA
hsa-miR-4639-3p|MIMAT0019698	NA
hsa-miR-4640-5p|MIMAT0019699	NA
hsa-miR-5579-3p|MIMAT0022270	NA
hsa-miR-664b-5p|MIMAT0022271	NA
hsa-miR-664b-3p|MIMAT0022272	NA
hsa-miR-5580-5p|MIMAT0022273	NA
hsa-miR-4644|MIMAT0019704	NA
hsa-miR-4645-5p|MIMAT0019705	NA
hsa-miR-5581-3p|MIMAT0022276	NA
hsa-miR-548j-3p|MIMAT0026737	NA
hsa-miR-4646-3p|MIMAT0019708	NA
hsa-miR-5582-5p|MIMAT0022279	NA
hsa-miR-4648|MIMAT0019710	NA
hsa-miR-5583-5p|MIMAT0022281	NA
hsa-miR-1287-3p|MIMAT0026738	NA
hsa-miR-5584-5p|MIMAT0022283	NA
hsa-miR-4650-3p|MIMAT0019714	NA
hsa-miR-5585-5p|MIMAT0022285	NA
hsa-miR-5585-3p|MIMAT0022286	NA
hsa-miR-5586-5p|MIMAT0022287	NA
hsa-miR-5586-3p|MIMAT0022288	NA
hsa-miR-500b-3p|MIMAT0027032	NA
hsa-miR-5587-3p|MIMAT0022290	NA
hsa-miR-548au-5p|MIMAT0022291	NA
hsa-miR-548au-3p|MIMAT0022292	NA
hsa-miR-1295b-5p|MIMAT0022293	NA
hsa-miR-4657|MIMAT0019724	NA
hsa-miR-5588-5p|MIMAT0022295	NA
hsa-miR-4659a-5p|MIMAT0019726	NA
hsa-miR-4659a-3p|MIMAT0019727	NA
hsa-miR-4660|MIMAT0019728	NA
hsa-miR-4661-5p|MIMAT0019729	NA
hsa-miR-5590-3p|MIMAT0022300	NA
hsa-miR-5591-5p|MIMAT0022301	NA
hsa-miR-5591-3p|MIMAT0022302	NA
hsa-miR-548av-5p|MIMAT0022303	NA
hsa-miR-548av-3p|MIMAT0022304	NA
hsa-miR-1247-3p|MIMAT0022721	NA
hsa-miR-5681a|MIMAT0022469	NA
hsa-miR-4664-5p|MIMAT0019737	NA
hsa-miR-548aw|MIMAT0022471	NA
hsa-miR-3617-3p|MIMAT0022966	NA
hsa-miR-1250-3p|MIMAT0026740	NA
hsa-miR-548ax|MIMAT0022474	NA
hsa-miR-3619-3p|MIMAT0019219	NA
hsa-miR-552-5p|MIMAT0026615	NA
hsa-miR-4667-3p|MIMAT0019744	NA
hsa-miR-5688|MIMAT0022479	NA
hsa-miR-5681b|MIMAT0022480	NA
hsa-miR-5689|MIMAT0022481	NA
hsa-miR-5690|MIMAT0022482	NA
hsa-miR-4669|MIMAT0019749	NA
hsa-miR-4670-5p|MIMAT0019750	NA
hsa-miR-4666b|MIMAT0022485	NA
hsa-miR-5693|MIMAT0022486	NA
hsa-miR-5694|MIMAT0022487	NA
hsa-miR-5695|MIMAT0022488	NA
hsa-miR-4673|MIMAT0019755	NA
hsa-miR-5697|MIMAT0022490	NA
hsa-miR-4675|MIMAT0019757	NA
hsa-miR-5699-5p|MIMAT0027103	NA
hsa-miR-5699-3p|MIMAT0022492	NA
hsa-miR-4677-5p|MIMAT0019760	NA
hsa-miR-5701|MIMAT0022494	NA
hsa-miR-5702|MIMAT0022495	NA
hsa-miR-5703|MIMAT0022496	NA
hsa-miR-5692b|MIMAT0022497	NA
hsa-miR-5704|MIMAT0022498	NA
