Gene	TCGA-DX-AB2L-01A-32R-A41D-13
hsa-miR-518d-5p|MIMAT0005456	NA
hsa-miR-518d-3p|MIMAT0002864	NA
hsa-miR-517c-3p|MIMAT0002866	NA
hsa-miR-520h|MIMAT0002867	NA
hsa-miR-522-5p|MIMAT0005451	NA
hsa-miR-522-3p|MIMAT0002868	1
hsa-miR-519a-5p|MIMAT0005452	5
hsa-miR-519a-3p|MIMAT0002869	1
hsa-miR-527|MIMAT0002862	NA
hsa-miR-516a-5p|MIMAT0004770	4
hsa-miR-516a-3p|MIMAT0006778	NA
hsa-miR-499a-5p|MIMAT0002870	1
hsa-miR-499a-3p|MIMAT0004772	2
hsa-miR-500a-5p|MIMAT0004773	39
hsa-miR-500a-3p|MIMAT0002871	1626
hsa-miR-501-5p|MIMAT0002872	25
hsa-miR-501-3p|MIMAT0004774	215
hsa-miR-502-5p|MIMAT0002873	18
hsa-miR-502-3p|MIMAT0004775	58
hsa-miR-503-5p|MIMAT0002874	129
hsa-miR-504-5p|MIMAT0002875	3
hsa-miR-505-5p|MIMAT0004776	18
hsa-miR-505-3p|MIMAT0002876	123
hsa-miR-513a-5p|MIMAT0002877	NA
hsa-miR-513a-3p|MIMAT0004777	NA
hsa-miR-506-3p|MIMAT0002878	NA
hsa-miR-507|MIMAT0002879	NA
hsa-miR-508-5p|MIMAT0004778	NA
hsa-miR-508-3p|MIMAT0002880	2
hsa-miR-509-5p|MIMAT0004779	NA
hsa-miR-509-3p|MIMAT0002881	2
hsa-miR-510-5p|MIMAT0002882	NA
hsa-miR-514a-3p|MIMAT0002883	2
hsa-miR-532-5p|MIMAT0002888	4714
hsa-miR-532-3p|MIMAT0004780	71
hsa-miR-455-5p|MIMAT0003150	233
hsa-miR-455-3p|MIMAT0004784	534
hsa-miR-539-5p|MIMAT0003163	183
hsa-miR-544a|MIMAT0003164	NA
hsa-miR-545-5p|MIMAT0004785	NA
hsa-miR-545-3p|MIMAT0003165	NA
hsa-miR-487b-3p|MIMAT0003180	263
hsa-miR-551a|MIMAT0003214	NA
hsa-miR-552-3p|MIMAT0003215	NA
hsa-miR-553|MIMAT0003216	NA
hsa-miR-554|MIMAT0003217	NA
hsa-miR-92b-5p|MIMAT0004792	NA
hsa-miR-92b-3p|MIMAT0003218	140
hsa-miR-555|MIMAT0003219	NA
hsa-miR-556-5p|MIMAT0003220	NA
hsa-miR-556-3p|MIMAT0004793	NA
hsa-miR-557|MIMAT0003221	NA
hsa-miR-558|MIMAT0003222	NA
hsa-miR-559|MIMAT0003223	NA
hsa-miR-561-3p|MIMAT0003225	NA
hsa-miR-562|MIMAT0003226	NA
hsa-miR-563|MIMAT0003227	NA
hsa-miR-564|MIMAT0003228	NA
hsa-miR-566|MIMAT0003230	NA
hsa-miR-567|MIMAT0003231	NA
hsa-miR-568|MIMAT0003232	NA
hsa-miR-551b-5p|MIMAT0004794	NA
hsa-miR-551b-3p|MIMAT0003233	NA
hsa-miR-569|MIMAT0003234	NA
hsa-miR-570-3p|MIMAT0003235	4
hsa-miR-571|MIMAT0003236	NA
hsa-miR-572|MIMAT0003237	NA
hsa-miR-573|MIMAT0003238	NA
hsa-miR-574-5p|MIMAT0004795	NA
hsa-miR-574-3p|MIMAT0003239	632
hsa-miR-575|MIMAT0003240	NA
hsa-miR-576-5p|MIMAT0003241	75
hsa-miR-576-3p|MIMAT0004796	NA
hsa-miR-577|MIMAT0003242	NA
hsa-miR-578|MIMAT0003243	NA
hsa-miR-579-3p|MIMAT0003244	1
hsa-miR-580-3p|MIMAT0003245	3
hsa-miR-581|MIMAT0003246	2
hsa-miR-582-5p|MIMAT0003247	67
hsa-miR-582-3p|MIMAT0004797	991
hsa-miR-583|MIMAT0003248	NA
hsa-miR-584-5p|MIMAT0003249	245
hsa-miR-585-3p|MIMAT0003250	8
hsa-miR-548a-3p|MIMAT0003251	NA
hsa-miR-586|MIMAT0003252	NA
hsa-miR-587|MIMAT0003253	NA
hsa-miR-548b-5p|MIMAT0004798	NA
hsa-miR-548b-3p|MIMAT0003254	1
hsa-miR-588|MIMAT0003255	NA
hsa-miR-589-5p|MIMAT0004799	139
hsa-miR-589-3p|MIMAT0003256	5
hsa-miR-550a-5p|MIMAT0004800	4
hsa-miR-550a-3p|MIMAT0003257	5
hsa-miR-590-5p|MIMAT0003258	15
hsa-miR-590-3p|MIMAT0004801	5
hsa-miR-591|MIMAT0003259	NA
hsa-miR-592|MIMAT0003260	8
hsa-miR-593-5p|MIMAT0003261	NA
hsa-miR-593-3p|MIMAT0004802	NA
hsa-miR-595|MIMAT0003263	NA
hsa-miR-596|MIMAT0003264	NA
hsa-miR-597-5p|MIMAT0003265	NA
hsa-miR-598-3p|MIMAT0003266	48
hsa-miR-599|MIMAT0003267	NA
hsa-miR-548a-5p|MIMAT0004803	NA
hsa-miR-600|MIMAT0003268	NA
hsa-miR-601|MIMAT0003269	NA
hsa-miR-602|MIMAT0003270	NA
hsa-miR-603|MIMAT0003271	NA
hsa-miR-604|MIMAT0003272	NA
hsa-miR-605-5p|MIMAT0003273	2
hsa-miR-606|MIMAT0003274	NA
hsa-miR-607|MIMAT0003275	NA
hsa-miR-608|MIMAT0003276	NA
hsa-miR-609|MIMAT0003277	NA
hsa-miR-610|MIMAT0003278	NA
hsa-miR-611|MIMAT0003279	NA
hsa-miR-612|MIMAT0003280	NA
hsa-miR-613|MIMAT0003281	NA
hsa-miR-614|MIMAT0003282	NA
hsa-miR-615-5p|MIMAT0004804	1
hsa-miR-615-3p|MIMAT0003283	36
hsa-miR-616-5p|MIMAT0003284	5
hsa-miR-616-3p|MIMAT0004805	7
hsa-miR-548c-5p|MIMAT0004806	NA
hsa-miR-548c-3p|MIMAT0003285	NA
hsa-miR-617|MIMAT0003286	NA
hsa-miR-618|MIMAT0003287	2
hsa-miR-619-3p|MIMAT0003288	NA
hsa-miR-620|MIMAT0003289	NA
hsa-miR-621|MIMAT0003290	NA
hsa-miR-622|MIMAT0003291	NA
hsa-miR-623|MIMAT0003292	NA
hsa-miR-624-5p|MIMAT0003293	4
hsa-miR-624-3p|MIMAT0004807	NA
hsa-miR-625-5p|MIMAT0003294	3
hsa-miR-625-3p|MIMAT0004808	453
hsa-miR-626|MIMAT0003295	NA
hsa-miR-627-5p|MIMAT0003296	6
hsa-miR-628-5p|MIMAT0004809	29
hsa-miR-628-3p|MIMAT0003297	11
hsa-miR-629-5p|MIMAT0004810	205
